NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
AURORA A SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AURORA A SIGNALING	31	30		
CD40 CD40L SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CD40 CD40L SIGNALING	36	32		
VALIDATED NUCLEAR ESTROGEN RECEPTOR BETA NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED NUCLEAR ESTROGEN RECEPTOR BETA NETWORK	15		Rejected!	
SIGNALING BY AURORA KINASES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING BY AURORA KINASES	3		Rejected!	
LKB1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%LKB1 SIGNALING EVENTS	43	39		
EPHRINB-EPHB PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPHRINB-EPHB PATHWAY	6		Rejected!	
TRK RECEPTOR SIGNALING MEDIATED BY THE MAPK PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TRK RECEPTOR SIGNALING MEDIATED BY THE MAPK PATHWAY	34	32		
TNF RECEPTOR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TNF RECEPTOR SIGNALING PATHWAY	46	44		
FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS	44	19		
CDC42 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CDC42 SIGNALING EVENTS	70	62		
CXCR4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CXCR4-MEDIATED SIGNALING EVENTS	84	79		
P38 SIGNALING MEDIATED BY MAPKAP KINASES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 SIGNALING MEDIATED BY MAPKAP KINASES	21	18		
PRESENILIN ACTION IN NOTCH AND WNT SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PRESENILIN ACTION IN NOTCH AND WNT SIGNALING	46	39		
VALIDATED TRANSCRIPTIONAL TARGETS OF TAP63 ISOFORMS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TRANSCRIPTIONAL TARGETS OF TAP63 ISOFORMS	54	44		
IFN-GAMMA PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IFN-GAMMA PATHWAY	41	39		
ARF1 PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ARF1 PATHWAY	19	19		
IL1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL1-MEDIATED SIGNALING EVENTS	34	33		
GLUCOCORTICOID RECEPTOR REGULATORY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GLUCOCORTICOID RECEPTOR REGULATORY NETWORK	82	61		
INTERNALIZATION OF ERBB1%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTERNALIZATION OF ERBB1	38	35		
E2F TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E2F TRANSCRIPTION FACTOR NETWORK	74	69		
CANONICAL NF-KAPPAB PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CANONICAL NF-KAPPAB PATHWAY	23	23		
EPHRIN A REVERSE SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPHRIN A REVERSE SIGNALING	3		Rejected!	
TCR SIGNALING IN NAIVE CD8+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TCR SIGNALING IN NAIVE CD8+ T CELLS	53	52		
REGULATION OF TELOMERASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF TELOMERASE	69	62		
REGULATION OF RETINOBLASTOMA PROTEIN%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RETINOBLASTOMA PROTEIN	65	55		
REGULATION OF CYTOPLASMIC AND NUCLEAR SMAD2 3 SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF CYTOPLASMIC AND NUCLEAR SMAD2 3 SIGNALING	18	18		
HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK	66	53		
REELIN SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REELIN SIGNALING PATHWAY	29	24		
TRAIL SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TRAIL SIGNALING PATHWAY	25	25		
RAPID GLUCOCORTICOID SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RAPID GLUCOCORTICOID SIGNALING	8		Rejected!	
SIGNALING EVENTS MEDIATED BY TCPTP%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY TCPTP	40	37		
BMP RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BMP RECEPTOR SIGNALING	41	29		
PAR4-MEDIATED THROMBIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PAR4-MEDIATED THROMBIN SIGNALING EVENTS	15		Rejected!	
HEDGEHOG%NETPATH%HEDGEHOG	22	15		
TCR%NETPATH%TCR	191	164		
BCR%NETPATH%BCR	90	84		
IL1%NETPATH%IL1	41	35		
IL2%NETPATH%IL2	60	57		
IL3%NETPATH%IL3	39	35		
IL4%NETPATH%IL4	39	34		
IL5%NETPATH%IL5	38	36		
IL6%NETPATH%IL6	58	52		
IL-7%NETPATH%IL-7	20	19		
ALPHA6BETA4INTEGRIN%NETPATH%ALPHA6BETA4INTEGRIN	58	42		
IL9%NETPATH%IL9	6		Rejected!	
RANKL%NETPATH%RANKL	21	15		
LEPTIN%NETPATH%LEPTIN	44	36		
TSH%NETPATH%TSH	20	16		
TSLP%NETPATH%TSLP	16	16		
FSH%NETPATH%FSH	6		Rejected!	
ANDROGENRECEPTOR%NETPATH%ANDROGENRECEPTOR	5		Rejected!	
NOTCH%NETPATH%NOTCH	47	40		
EGFR1%NETPATH%EGFR1	351		Rejected!	
ID%NETPATH%ID	20	19		
KITRECEPTOR%NETPATH%KITRECEPTOR	58	52		
TGF_BETA_RECEPTOR%NETPATH%TGF_BETA_RECEPTOR	120	102		
WNT%NETPATH%WNT	49	32		
TNFALPHA%NETPATH%TNFALPHA	172	159		
5-ARACHIDONYLGLYCEROL_BIOSYNTHESIS%PANTHER PATHWAY%P05726	7		Rejected!	
5HT1 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04373	34	20		
5HT2 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04374	41	27		
5HT4 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04376	18		Rejected!	
5-HYDROXYTRYPTAMINE BIOSYNTHESIS%PANTHER PATHWAY%P04371	3		Rejected!	
5-HYDROXYTRYPTAMINE DEGREDATION%PANTHER PATHWAY%P04372	18		Rejected!	
ACETATE UTILIZATION%PANTHER PATHWAY%P02722	3		Rejected!	
ADENINE AND HYPOXANTHINE SALVAGE PATHWAY%PANTHER PATHWAY%P02723	6		Rejected!	
ADRENALINE AND NORADRENALINE BIOSYNTHESIS%PANTHER PATHWAY%P00001	10		Rejected!	
ALANINE BIOSYNTHESIS%PANTHER PATHWAY%P02724	2		Rejected!	
ALLANTOIN DEGRADATION%PANTHER PATHWAY%P02725	1		Rejected!	
ALPHA ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00002	16		Rejected!	
ALZHEIMER DISEASE-AMYLOID SECRETASE PATHWAY%PANTHER PATHWAY%P00003	50	42		
ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004	86	56		
AMINOBUTYRATE DEGRADATION%PANTHER PATHWAY%P02726	1		Rejected!	
ANANDAMIDE_DEGRADATION%PANTHER PATHWAY%P05728	1		Rejected!	
ANDROGEN ESTROGENE PROGESTERONE BIOSYNTHESIS%PANTHER PATHWAY%P02727	9		Rejected!	
ANGIOGENESIS%PANTHER PATHWAY%P00005	148	127		
ANGIOTENSIN_II-STIMULATED_SIGNALING_THROUGH_G_PROTEINS_AND_BETA-ARRESTIN%PANTHER PATHWAY%P05911	33	25		
APOPTOSIS SIGNALING PATHWAY%PANTHER PATHWAY%P00006	92	90		
ARGININE BIOSYNTHESIS%PANTHER PATHWAY%P02728	6		Rejected!	
ASCORBATE DEGRADATION%PANTHER PATHWAY%P02729	1		Rejected!	
ASPARAGINE AND ASPARTATE BIOSYNTHESIS%PANTHER PATHWAY%P02730	1		Rejected!	
ATP SYNTHESIS%PANTHER PATHWAY%P02721	2		Rejected!	
AXON GUIDANCE MEDIATED BY NETRIN%PANTHER PATHWAY%P00009	30	22		
AXON GUIDANCE MEDIATED BY SEMAPHORINS%PANTHER PATHWAY%P00007	19	16		
AXON GUIDANCE MEDIATED BY SLIT ROBO%PANTHER PATHWAY%P00008	18		Rejected!	
B CELL ACTIVATION%PANTHER PATHWAY%P00010	54	53		
BETA1 ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04377	24	17		
BETA2 ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04378	24	17		
BETA3 ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04379	18		Rejected!	
BLOOD COAGULATION%PANTHER PATHWAY%P00011	32	17		
BUPROPION_DEGRADATION%PANTHER PATHWAY%P05729	1		Rejected!	
CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	137	44		
CARNITINE METABOLISM%PANTHER PATHWAY%P02733	1		Rejected!	
GASTRIN_CCK2R_240212%PANTHER PATHWAY%P06959	131	119		
CELL CYCLE%PANTHER PATHWAY%P00013	5		Rejected!	
CHOLESTEROL BIOSYNTHESIS%PANTHER PATHWAY%P00014	12		Rejected!	
CIRCADIAN CLOCK SYSTEM%PANTHER PATHWAY%P00015	9		Rejected!	
COENZYME A BIOSYNTHESIS%PANTHER PATHWAY%P02736	6		Rejected!	
COENZYME A LINKED CARNITINE METABOLISM%PANTHER PATHWAY%P02732	1		Rejected!	
CORTOCOTROPIN RELEASING FACTOR RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04380	22		Rejected!	
CYSTEINE BIOSYNTHESIS%PANTHER PATHWAY%P02737	1		Rejected!	
CYTOSKELETAL REGULATION BY RHO GTPASE%PANTHER PATHWAY%P00016	64	45		
DE NOVO PURINE BIOSYNTHESIS%PANTHER PATHWAY%P02738	26	20		
DE NOVO PYRIMIDINE DEOXYRIBONUCLEOTIDE BIOSYNTHESIS%PANTHER PATHWAY%P02739	12		Rejected!	
DE NOVO PYRIMIDINE RIBONUCLEOTIDES BIOSYTHESIS%PANTHER PATHWAY%P02740	10		Rejected!	
DNA REPLICATION%PANTHER PATHWAY%P00017	17	15		
PNAT%PANTHER PATHWAY%P05912	45	28		
EGF RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00018	88	79		
ENDOGENOUS_CANNABINOID_SIGNALING%PANTHER PATHWAY%P05730	23		Rejected!	
UNTITLED%PANTHER PATHWAY%P00019	59	42		
ENKEPHALIN RELEASE%PANTHER PATHWAY%P05913	33	22		
FAS SIGNALING PATHWAY%PANTHER PATHWAY%P00020	30	29		
FGF SIGNALING PATHWAY%PANTHER PATHWAY%P00021	68	62		
FLAVIN BIOSYNTHESIS%PANTHER PATHWAY%P02741	2		Rejected!	
FORMYLTETRAHYDROFORMATE BIOSYNTHESIS%PANTHER PATHWAY%P02743	6		Rejected!	
FRUCTOSE GALACTOSE METABOLISM%PANTHER PATHWAY%P02744	9		Rejected!	
GABA-B_RECEPTOR_II_SIGNALING%PANTHER PATHWAY%P05731	35	21		
GAMMA-AMINOBUTYRIC ACID SYNTHESIS%PANTHER PATHWAY%P04384	5		Rejected!	
GENERAL TRANSCRIPTION REGULATION%PANTHER PATHWAY%P00023	30	29		
GENERAL TRANSCRIPTION BY RNA POLYMERASE I%PANTHER PATHWAY%P00022	15		Rejected!	
GLUTAMINE GLUTAMATE CONVERSION%PANTHER PATHWAY%P02745	4		Rejected!	
GLYCOLYSIS%PANTHER PATHWAY%P00024	17		Rejected!	
UNTITLED%PANTHER PATHWAY%P06664	3		Rejected!	
HEDGEHOG SIGNALING PATHWAY%PANTHER PATHWAY%P00025	10		Rejected!	
HEME BIOSYNTHESIS%PANTHER PATHWAY%P02746	11		Rejected!	
HETEROTRIMERIC G-PROTEIN SIGNALING PATHWAY-GI ALPHA AND GS ALPHA MEDIATED PATHWAY%PANTHER PATHWAY%P00026	123	61		
HETEROTRIMERIC G-PROTEIN SIGNALING PATHWAY-GQ ALPHA AND GO ALPHA MEDIATED PATHWAY%PANTHER PATHWAY%P00027	88	49		
HETEROTRIMERIC G-PROTEIN SIGNALING PATHWAY-ROD OUTER SEGMENT PHOTOTRANSDUCTION%PANTHER PATHWAY%P00028	30		Rejected!	
HISTAMINE H1 RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04385	41	29		
HISTAMINE H2 RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04386	24	17		
HISTAMINE SYNTHESIS%PANTHER PATHWAY%P04387	1		Rejected!	
HUNTINGTON DISEASE%PANTHER PATHWAY%P00029	98	73		
HYPOXIA RESPONSE VIA HIF ACTIVATION%PANTHER PATHWAY%P00030	14		Rejected!	
INFLAMMATION MEDIATED BY CHEMOKINE AND CYTOKINE SIGNALING PATHWAY%PANTHER PATHWAY%P00031	182	137		
INSULIN IGF PATHWAY-MITOGEN ACTIVATED PROTEIN KINASE KINASE MAP KINASE CASCADE%PANTHER PATHWAY%P00032	29	24		
INSULIN IGF PATHWAY-PROTEIN KINASE B SIGNALING CASCADE%PANTHER PATHWAY%P00033	22	17		
INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	164	132		
INTERFERON-GAMMA SIGNALING PATHWAY%PANTHER PATHWAY%P00035	6		Rejected!	
INTERLEUKIN SIGNALING PATHWAY%PANTHER PATHWAY%P00036	85	71		
IONOTROPIC GLUTAMATE RECEPTOR PATHWAY%PANTHER PATHWAY%P00037	35	16		
ISOLEUCINE BIOSYNTHESIS%PANTHER PATHWAY%P02748	3		Rejected!	
JAK STAT SIGNALING PATHWAY%PANTHER PATHWAY%P00038	9		Rejected!	
LEUCINE BIOSYNTHESIS%PANTHER PATHWAY%P02749	2		Rejected!	
LIPOATE_BIOSYNTHESIS%PANTHER PATHWAY%P02750	1		Rejected!	
MANNOSE METABOLISM%PANTHER PATHWAY%P02752	6		Rejected!	
METABOTROPIC GLUTAMATE RECEPTOR GROUP III PATHWAY%PANTHER PATHWAY%P00039	65	36		
METABOTROPIC GLUTAMATE RECEPTOR GROUP II PATHWAY%PANTHER PATHWAY%P00040	42	30		
METABOTROPIC GLUTAMATE RECEPTOR GROUP I PATHWAY%PANTHER PATHWAY%P00041	24	15		
METHIONINE BIOSYNTHESIS%PANTHER PATHWAY%P02753	1		Rejected!	
METHYLCITRATE CYCLE%PANTHER PATHWAY%P02754	2		Rejected!	
METHYLMALONYL PATHWAY%PANTHER PATHWAY%P02755	4		Rejected!	
MRNA SPLICING%PANTHER PATHWAY%P00058	6		Rejected!	
MUSCARINIC ACETYLCHOLINE RECEPTOR 1 AND 3 SIGNALING PATHWAY%PANTHER PATHWAY%P00042	42	27		
MUSCARINIC ACETYLCHOLINE RECEPTOR 2 AND 4 SIGNALING PATHWAY%PANTHER PATHWAY%P00043	37	22		
N-ACETYLGLUCOSAMINE METABOLISM%PANTHER PATHWAY%P02756	6		Rejected!	
NICOTINE_DEGRADATION%PANTHER PATHWAY%P05914	9		Rejected!	
NICOTINE PHARMACODYNAMICS PATHWAY%PANTHER PATHWAY%P06587	26		Rejected!	
NICOTINIC ACETYLCHOLINE RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00044	70	39		
NOTCH SIGNALING PATHWAY%PANTHER PATHWAY%P00045	15		Rejected!	
O-ANTIGEN BIOSYNTHESIS%PANTHER PATHWAY%P02757	3		Rejected!	
UNTITLED%PANTHER PATHWAY%P05916	24		Rejected!	
OPIOID PROENKEPHALIN PATHWAY%PANTHER PATHWAY%P05915	22		Rejected!	
OPIOID PROOPIOMELANOCORTIN PATHWAY%PANTHER PATHWAY%P05917	22	15		
ORNITHINE DEGRADATION%PANTHER PATHWAY%P02758	3		Rejected!	
OXIDATIVE STRESS RESPONSE%PANTHER PATHWAY%P00046	22	22		
OXYTOCIN RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04391	38	27		
P38 MAPK PATHWAY%PANTHER PATHWAY%P05918	28	28		
P53 PATHWAY BY GLUCOSE DEPRIVATION%PANTHER PATHWAY%P04397	20	18		
P53 PATHWAY FEEDBACK LOOPS 1%PANTHER PATHWAY%P04392	6		Rejected!	
P53 PATHWAY FEEDBACK LOOPS 2%PANTHER PATHWAY%P04398	40	37		
P53 PATHWAY%PANTHER PATHWAY%P00059	43	37		
PARKINSON DISEASE%PANTHER PATHWAY%P00049	47	33		
PDGF SIGNALING PATHWAY%PANTHER PATHWAY%P00047	125	111		
PENTOSE PHOSPHATE PATHWAY%PANTHER PATHWAY%P02762	8		Rejected!	
PHENYLETHYLAMINE DEGRADATION%PANTHER PATHWAY%P02766	3		Rejected!	
PI3 KINASE PATHWAY%PANTHER PATHWAY%P00048	39	34		
PLASMINOGEN ACTIVATING CASCADE%PANTHER PATHWAY%P00050	15		Rejected!	
PURINE METABOLISM%PANTHER PATHWAY%P02769	4		Rejected!	
PYRIDOXAL-5-PHOSPHATE BIOSYNTHESIS%PANTHER PATHWAY%P02759	2		Rejected!	
PYRIDOXAL PHOSPHATE SALVAGE PATHWAY%PANTHER PATHWAY%P02770	2		Rejected!	
PYRIMIDINE METABOLISM%PANTHER PATHWAY%P02771	10		Rejected!	
PYRUVATE METABOLISM%PANTHER PATHWAY%P02772	10		Rejected!	
RAS PATHWAY%PANTHER PATHWAY%P04393	70	67		
S-ADENOSYLMETHIONINE BIOSYNTHESIS%PANTHER PATHWAY%P02773	3		Rejected!	
SALVAGE PYRIMIDINE DEOXYRIBONUCLEOTIDES%PANTHER PATHWAY%P02774	3		Rejected!	
SALVAGE PYRIMIDINE RIBONUCLEOTIDES%PANTHER PATHWAY%P02775	10		Rejected!	
SERINE GLYCINE BIOSYNTHESIS%PANTHER PATHWAY%P02776	3		Rejected!	
SUCCINATE TO PROPRIONATE CONVERSION%PANTHER PATHWAY%P02777	3		Rejected!	
SYNAPTIC_VESICLE_TRAFFICKING%PANTHER PATHWAY%P05734	20		Rejected!	
TCA CYCLE%PANTHER PATHWAY%P00051	10		Rejected!	
T CELL ACTIVATION%PANTHER PATHWAY%P00053	60	60		
TETRAHYDROFOLATE BIOSYNTHESIS%PANTHER PATHWAY%P02742	5		Rejected!	
TGF-BETA SIGNALING PATHWAY%PANTHER PATHWAY%P00052	85	54		
THIAMINE METABOLISM%PANTHER PATHWAY%P02780	2		Rejected!	
THREONINE BIOSYNTHESIS%PANTHER PATHWAY%P02781	1		Rejected!	
THYROTROPIN-RELEASING HORMONE RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04394	56	36		
TOLL RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00054	37	37		
TRANSCRIPTION REGULATION BY BZIP TRANSCRIPTION FACTOR%PANTHER PATHWAY%P00055	47	43		
TRIACYLGLYCEROL METABOLISM%PANTHER PATHWAY%P02782	2		Rejected!	
UBIQUITIN PROTEASOME PATHWAY%PANTHER PATHWAY%P00060	27	26		
VALINE BIOSYNTHESIS%PANTHER PATHWAY%P02785	3		Rejected!	
VASOPRESSIN SYNTHESIS%PANTHER PATHWAY%P04395	2		Rejected!	
VEGF SIGNALING PATHWAY%PANTHER PATHWAY%P00056	61	53		
VITAMIN B6 METABOLISM%PANTHER PATHWAY%P02787	3		Rejected!	
VITAMIN D METABOLISM AND PATHWAY%PANTHER PATHWAY%P04396	5		Rejected!	
WNT SIGNALING PATHWAY%PANTHER PATHWAY%P00057	246	138		
XANTHINE AND GUANINE SALVAGE PATHWAY%PANTHER PATHWAY%P02788	4		Rejected!	
ALANINE METABOLISM%SMPDB%SMP0000055	5		Rejected!	
ASPARTATE METABOLISM%SMPDB%SMP0000067	14		Rejected!	
GLUTAMATE METABOLISM%PATHWHIZ%PW000003	22	18		
GLUTATHIONE METABOLISM%SMPDB%SMP0000015	11		Rejected!	
CITRIC ACID CYCLE%SMPDB%SMP0000057	21	21		
ALPHA LINOLENIC ACID AND LINOLEIC ACID METABOLISM%PATHWHIZ%PW000006	5		Rejected!	
SELENOAMINO ACID METABOLISM%PATHWHIZ%PW000007	12		Rejected!	
AMINO SUGAR METABOLISM%PATHWHIZ%PW000008	17	17		
AMMONIA RECYCLING%PATHWHIZ%PW000009	12		Rejected!	
ARGININE AND PROLINE METABOLISM%SMPDB%SMP0000020	20		Rejected!	
BETA-ALANINE METABOLISM%SMPDB%SMP0000007	9		Rejected!	
BETAINE METABOLISM%SMPDB%SMP0000123	8		Rejected!	
BIOTIN METABOLISM%SMPDB%SMP0000066	4		Rejected!	
BUTYRATE METABOLISM%PATHWHIZ%PW000014	7		Rejected!	
CAFFEINE METABOLISM%SMPDB%SMP0000028	8		Rejected!	
CARNITINE SYNTHESIS%SMPDB%SMP0000465	5		Rejected!	
CATECHOLAMINE BIOSYNTHESIS%SMPDB%SMP0000012	3		Rejected!	
CYSTEINE METABOLISM%PATHWHIZ%PW000018	9		Rejected!	
D-ARGININE AND D-ORNITHINE METABOLISM%PATHWHIZ%PW000019	1		Rejected!	
DEGRADATION OF SUPEROXIDES%PATHWHIZ%PW000020	5		Rejected!	
ETHANOL DEGRADATION%PATHWHIZ%PW000021	7		Rejected!	
FATTY ACID ELONGATION IN MITOCHONDRIA%SMPDB%SMP0000054	7		Rejected!	
FATTY ACID METABOLISM%PATHWHIZ%PW000023	14		Rejected!	
FOLATE METABOLISM%SMPDB%SMP0000053	12		Rejected!	
FRUCTOSE AND MANNOSE DEGRADATION%SMPDB%SMP0000064	18		Rejected!	
GLYCEROL PHOSPHATE SHUTTLE%SMPDB%SMP0000124	3		Rejected!	
HOMOCYSTEINE DEGRADATION%SMPDB%SMP0000455	2		Rejected!	
KETONE BODY METABOLISM%PATHWHIZ%PW000028	4		Rejected!	
LYSINE DEGRADATION%PATHWHIZ%PW000029	13		Rejected!	
MALATE-ASPARTATE SHUTTLE%PATHWHIZ%PW000030	4		Rejected!	
NUCLEOTIDE SUGARS METABOLISM%PATHWHIZ%PW000031	8		Rejected!	
PANTOTHENATE AND COA BIOSYNTHESIS%SMPDB%SMP0000027	6		Rejected!	
PHENYLACETATE METABOLISM%SMPDB%SMP0000126	3		Rejected!	
PYRUVALDEHYDE DEGRADATION%SMPDB%SMP0000459	3		Rejected!	
RIBOFLAVIN METABOLISM%SMPDB%SMP0000070	5		Rejected!	
THIAMINE METABOLISM%SMPDB%SMP0000076	4		Rejected!	
SPERMIDINE AND SPERMINE BIOSYNTHESIS%PATHWHIZ%PW000037	6		Rejected!	
TAURINE AND HYPOTAURINE METABOLISM%SMPDB%SMP0000021	5		Rejected!	
UBIQUINONE BIOSYNTHESIS%SMPDB%SMP0000065	5		Rejected!	
SULFATE SULFITE METABOLISM%PATHWHIZ%PW000040	6		Rejected!	
PHYTANIC ACID PEROXISOMAL OXIDATION%PATHWHIZ%PW000041	6		Rejected!	
PHENYLALANINE AND TYROSINE METABOLISM%PATHWHIZ%PW000042	11		Rejected!	
HISTIDINE METABOLISM%SMPDB%SMP0000044	17		Rejected!	
ARACHIDONIC ACID METABOLISM%SMPDB%SMP0000075	29	18		
ANDROGEN AND ESTROGEN METABOLISM%SMPDB%SMP0000068	12		Rejected!	
GLUCOSE-ALANINE CYCLE%SMPDB%SMP0000127	8		Rejected!	
VITAMIN K METABOLISM%SMPDB%SMP0000464	3		Rejected!	
PHOSPHOLIPID BIOSYNTHESIS%SMPDB%SMP0000025	25	20		
LACTOSE SYNTHESIS%SMPDB%SMP0000444	10		Rejected!	
STEROID BIOSYNTHESIS%PATHWHIZ%PW000050	21	21		
VALINE, LEUCINE, AND ISOLEUCINE DEGRADATION%PATHWHIZ%PW000051	28	26		
PURINE METABOLISM%PATHWHIZ%PW000052	37	27		
VITAMIN B6 METABOLISM%PATHWHIZ%PW000053	5		Rejected!	
PYRUVATE METABOLISM%PATHWHIZ%PW000054	21	18		
PENTOSE PHOSPHATE PATHWAY%SMPDB%SMP0000031	15		Rejected!	
METHIONINE METABOLISM%SMPDB%SMP0000033	16		Rejected!	
PRIMARY HYPEROXALURIA TYPE I%SMPDB%SMP0000352	5		Rejected!	
PYRUVATE CARBOXYLASE DEFICIENCY%SMPDB%SMP0000350	5		Rejected!	
17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY%SMPDB%SMP0000356	12		Rejected!	
BETA-KETOTHIOLASE DEFICIENCY%SMPDB%SMP0000173	28	26		
2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW000061	28	26		
PROPIONIC ACIDEMIA%PATHWHIZ%PW000062	28	26		
3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY%PATHWHIZ%PW000063	28	26		
MAPLE SYRUP URINE DISEASE%PATHWHIZ%PW000064	28	26		
3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	28	26		
3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	28	26		
3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	28	26		
METHYLMALONATE SEMIALDEHYDE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000384	28	26		
METHYLMALONIC ACIDURIA%SMPDB%SMP0000200	28	26		
4-HYDROXYBUTYRIC ACIDURIA SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000243	22	18		
HOMOCARNOSINOSIS%SMPDB%SMP0000385	22	18		
HYPERINSULINISM-HYPERAMMONEMIA SYNDROME%PATHWHIZ%PW000072	22	18		
GLUTATHIONE SYNTHETASE DEFICIENCY%PATHWHIZ%PW000073	11		Rejected!	
5-OXOPROLINURIA%PATHWHIZ%PW000074	11		Rejected!	
ADENOSINE DEAMINASE DEFICIENCY%PATHWHIZ%PW000075	37	27		
ADENYLOSUCCINATE LYASE DEFICIENCY%SMPDB%SMP0000167	37	27		
GOUT OR KELLEY-SEEGMILLER SYNDROME%SMPDB%SMP0000365	37	27		
LESCH-NYHAN SYNDROME (LNS)%SMPDB%SMP0000364	37	27		
MOLYBDENUM COFACTOR DEFICIENCY%SMPDB%SMP0000203	37	27		
XANTHINE DEHYDROGENASE DEFICIENCY (XANTHINURIA)%SMPDB%SMP0000220	37	27		
PURINE NUCLEOSIDE PHOSPHORYLASE DEFICIENCY%SMPDB%SMP0000210	37	27		
AICA-RIBOSIDURIA%PATHWHIZ%PW000082	37	27		
