NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SYNAPTIC VESICLE CYCLE%GOBP%GO:0099504	SYNAPTIC VESICLE CYCLE%GOBP%GO:0099504		59	0.45826903	1.3993464	0.03473227	0.21204422	1.0	1864	tags=31%, list=14%, signal=35%	
REGULATION OF TUMOR NECROSIS FACTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0010803	REGULATION OF TUMOR NECROSIS FACTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0010803		40	0.4878375	1.3992522	0.060382918	0.21199073	1.0	1054	tags=25%, list=8%, signal=27%	
PRACTOLOL ACTION PATHWAY%PATHWHIZ%PW000646	PRACTOLOL ACTION PATHWAY%PATHWHIZ%PW000646		30	0.5250649	1.3990474	0.053412464	0.21208575	1.0	1298	tags=23%, list=10%, signal=26%	
TIAPROFENIC ACID ACTION PATHWAY%PATHWHIZ%PW000682	TIAPROFENIC ACID ACTION PATHWAY%PATHWHIZ%PW000682		18	0.5797005	1.3990089	0.06240487	0.21192317	1.0	1999	tags=50%, list=15%, signal=59%	
DEOXYRIBONUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009264	DEOXYRIBONUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009264		18	0.59147346	1.3990066	0.06521739	0.21169844	1.0	1875	tags=33%, list=14%, signal=39%	
GLOBOID CELL LEUKODYSTROPHY%PATHWHIZ%PW000202	GLOBOID CELL LEUKODYSTROPHY%PATHWHIZ%PW000202		18	0.5811329	1.3989881	0.06807131	0.2115023	1.0	4108	tags=67%, list=31%, signal=96%	
ACETYLSALICYLIC ACID ACTION PATHWAY%PATHWHIZ%PW000128	ACETYLSALICYLIC ACID ACTION PATHWAY%PATHWHIZ%PW000128		18	0.5797005	1.3989178	0.070202805	0.21139474	1.0	1999	tags=50%, list=15%, signal=59%	
SULFUR AMINO ACID METABOLIC PROCESS%GOBP%GO:0000096	SULFUR AMINO ACID METABOLIC PROCESS%GOBP%GO:0000096		20	0.5696689	1.3985448	0.054517135	0.21177204	1.0	1409	tags=15%, list=10%, signal=17%	
BISOPROLOL ACTION PATHWAY%SMPDB%SMP0000300	BISOPROLOL ACTION PATHWAY%SMPDB%SMP0000300		30	0.5250649	1.3976228	0.06901615	0.21300086	1.0	1298	tags=23%, list=10%, signal=26%	
NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009166	NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009166		75	0.4432286	1.3975801	0.042119566	0.21283747	1.0	2091	tags=31%, list=16%, signal=36%	
SULFUR COMPOUND METABOLIC PROCESS%GOBP%GO:0006790	SULFUR COMPOUND METABOLIC PROCESS%GOBP%GO:0006790		197	0.39354804	1.3975055	0.009779952	0.21274717	1.0	2141	tags=23%, list=16%, signal=27%	
PI3K AKT MTOR VITAMIN D3 SIGNALING%WIKIPATHWAYS_20240210%WP4141%HOMO SAPIENS	PI3K AKT MTOR VITAMIN D3 SIGNALING%WIKIPATHWAYS_20240210%WP4141%HOMO SAPIENS		15	0.60052925	1.3973974	0.07210031	0.21270281	1.0	261	tags=20%, list=2%, signal=20%	
CERAMIDE METABOLIC PROCESS%GOBP%GO:0006672	CERAMIDE METABOLIC PROCESS%GOBP%GO:0006672		62	0.4539893	1.3973064	0.044159543	0.2126611	1.0	1646	tags=26%, list=12%, signal=29%	
CELL COMMUNICATION INVOLVED IN CARDIAC CONDUCTION%GOBP%GO:0086065	CELL COMMUNICATION INVOLVED IN CARDIAC CONDUCTION%GOBP%GO:0086065		16	0.59148884	1.3968704	0.072	0.21319003	1.0	1082	tags=25%, list=8%, signal=27%	
RAB GERANYLGERANYLATION%REACTOME DATABASE ID RELEASE 65%8873719	RAB GERANYLGERANYLATION%REACTOME DATABASE ID RELEASE 65%8873719		56	0.46786165	1.3964413	0.044382803	0.21366984	1.0	1377	tags=25%, list=10%, signal=28%	
METOPROLOL ACTION PATHWAY%PATHWHIZ%PW000370	METOPROLOL ACTION PATHWAY%PATHWHIZ%PW000370		30	0.5250649	1.3960669	0.074923545	0.21405376	1.0	1298	tags=23%, list=10%, signal=26%	
MONOCARBOXYLIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0072330	MONOCARBOXYLIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0072330		90	0.43149707	1.395973	0.03387534	0.2139883	1.0	1624	tags=22%, list=12%, signal=25%	
REGULATION OF CARBOHYDRATE CATABOLIC PROCESS%GOBP%GO:0043470	REGULATION OF CARBOHYDRATE CATABOLIC PROCESS%GOBP%GO:0043470		39	0.49563622	1.3958598	0.052473765	0.21393158	1.0	1770	tags=28%, list=13%, signal=32%	
ANTIPYRINE ACTION PATHWAY%SMPDB%SMP0000692	ANTIPYRINE ACTION PATHWAY%SMPDB%SMP0000692		18	0.5797005	1.3957585	0.08695652	0.21386325	1.0	1999	tags=50%, list=15%, signal=59%	
POSITIVE REGULATION OF LIPID TRANSPORT%GOBP%GO:0032370	POSITIVE REGULATION OF LIPID TRANSPORT%GOBP%GO:0032370		38	0.49072254	1.3953854	0.056971513	0.21422505	1.0	1422	tags=21%, list=11%, signal=23%	
ACETAMINOPHEN ACTION PATHWAY%SMPDB%SMP0000710	ACETAMINOPHEN ACTION PATHWAY%SMPDB%SMP0000710		18	0.5797005	1.3949984	0.07472178	0.21466102	1.0	1999	tags=50%, list=15%, signal=59%	
REGULATION OF NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0030811	REGULATION OF NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0030811		34	0.5135095	1.3947024	0.06231884	0.21488978	1.0	1770	tags=29%, list=13%, signal=34%	
INDOMETHACIN ACTION PATHWAY%PATHWHIZ%PW000260	INDOMETHACIN ACTION PATHWAY%PATHWHIZ%PW000260		18	0.5797005	1.394488	0.07855974	0.21500255	1.0	1999	tags=50%, list=15%, signal=59%	
POTASSIUM ION TRANSPORT%GOBP%GO:0006813	POTASSIUM ION TRANSPORT%GOBP%GO:0006813		61	0.4549986	1.3942207	0.039030954	0.21519247	1.0	1028	tags=16%, list=8%, signal=18%	
SINGLE FERTILIZATION%GOBP%GO:0007338	SINGLE FERTILIZATION%GOBP%GO:0007338		31	0.5155375	1.3941457	0.056514915	0.21509358	1.0	3553	tags=42%, list=26%, signal=57%	
CELL-CELL COMMUNICATION%REACTOME%R-HSA-1500931.8	CELL-CELL COMMUNICATION%REACTOME%R-HSA-1500931.8		89	0.43198875	1.3940836	0.032938078	0.21497911	1.0	999	tags=18%, list=7%, signal=19%	
COMPLEX I BIOGENESIS%REACTOME%R-HSA-6799198.3	COMPLEX I BIOGENESIS%REACTOME%R-HSA-6799198.3		57	0.46604097	1.3938295	0.026536312	0.21519381	1.0	4323	tags=53%, list=32%, signal=77%	
NEBIVOLOL ACTION PATHWAY%SMPDB%SMP0000366	NEBIVOLOL ACTION PATHWAY%SMPDB%SMP0000366		30	0.5250649	1.393677	0.074809164	0.21522386	1.0	1298	tags=23%, list=10%, signal=26%	
TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS COV 2 INFECTION%WIKIPATHWAYS_20240210%WP4868%HOMO SAPIENS	TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS COV 2 INFECTION%WIKIPATHWAYS_20240210%WP4868%HOMO SAPIENS		26	0.5357821	1.3936229	0.076219514	0.21509077	1.0	3257	tags=58%, list=24%, signal=76%	
BUPRANOLOL ACTION PATHWAY%SMPDB%SMP0000670	BUPRANOLOL ACTION PATHWAY%SMPDB%SMP0000670		30	0.5250649	1.3935509	0.05891473	0.21497457	1.0	1298	tags=23%, list=10%, signal=26%	
FATTY ACID BETA-OXIDATION%GOBP%GO:0006635	FATTY ACID BETA-OXIDATION%GOBP%GO:0006635		46	0.4800672	1.3935101	0.04881657	0.21482512	1.0	4346	tags=57%, list=32%, signal=83%	
GLYCOSPHINGOLIPID METABOLIC PROCESS%GOBP%GO:0006687	GLYCOSPHINGOLIPID METABOLIC PROCESS%GOBP%GO:0006687		39	0.49985215	1.3934152	0.06488011	0.21474716	1.0	1560	tags=31%, list=12%, signal=35%	
LOCOMOTION%GOBP%GO:0040011	LOCOMOTION%GOBP%GO:0040011		178	0.40286723	1.3931624	0.008526187	0.21494989	1.0	2027	tags=29%, list=15%, signal=34%	
REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.6	REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.6		77	0.43907183	1.3930587	0.037921347	0.21487312	1.0	2974	tags=38%, list=22%, signal=48%	
PROTEIN LOCALIZATION TO CELL PERIPHERY%GOBP%GO:1990778	PROTEIN LOCALIZATION TO CELL PERIPHERY%GOBP%GO:1990778		147	0.4078771	1.3928089	0.012484395	0.2150537	1.0	1911	tags=24%, list=14%, signal=27%	
DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 65%3781865	DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 65%3781865		87	0.43295303	1.3927507	0.025503356	0.21492162	1.0	1812	tags=23%, list=13%, signal=26%	
SALSALATE ACTION PATHWAY%SMPDB%SMP0000707	SALSALATE ACTION PATHWAY%SMPDB%SMP0000707		18	0.5797005	1.392542	0.06635071	0.2150307	1.0	1999	tags=50%, list=15%, signal=59%	
SULINDAC ACTION PATHWAY%PATHWHIZ%PW000136	SULINDAC ACTION PATHWAY%PATHWHIZ%PW000136		18	0.5797005	1.3924795	0.077044025	0.21490398	1.0	1999	tags=50%, list=15%, signal=59%	
NIK-->NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5676590.3	NIK-->NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5676590.3		56	0.4668432	1.3919652	0.048433047	0.21552902	1.0	2112	tags=38%, list=16%, signal=44%	
LAMELLIPODIUM ASSEMBLY%GOBP%GO:0030032	LAMELLIPODIUM ASSEMBLY%GOBP%GO:0030032		22	0.5504046	1.3916093	0.09630819	0.21594194	1.0	999	tags=36%, list=7%, signal=39%	
TOLMETIN ACTION PATHWAY%PATHWHIZ%PW000681	TOLMETIN ACTION PATHWAY%PATHWHIZ%PW000681		18	0.5797005	1.3914567	0.06260032	0.21593204	1.0	1999	tags=50%, list=15%, signal=59%	
KEAP1-NFE2L2 PATHWAY%REACTOME DATABASE ID RELEASE 65%9755511	KEAP1-NFE2L2 PATHWAY%REACTOME DATABASE ID RELEASE 65%9755511		115	0.41720566	1.3913016	0.025773196	0.21596617	1.0	2139	tags=30%, list=16%, signal=36%	
POSITIVE REGULATION OF CHOLESTEROL EFFLUX%GOBP%GO:0010875	POSITIVE REGULATION OF CHOLESTEROL EFFLUX%GOBP%GO:0010875		15	0.59912854	1.3910706	0.10662359	0.216137	1.0	593	tags=13%, list=4%, signal=14%	
RIBOSE PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0046390	RIBOSE PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0046390		134	0.40316612	1.3909098	0.023047375	0.21617246	1.0	2245	tags=24%, list=17%, signal=28%	
PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0006164	PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0006164		144	0.40849423	1.3907351	0.013681592	0.21621932	1.0	2245	tags=24%, list=17%, signal=29%	
APOPTOTIC FACTOR-MEDIATED RESPONSE%REACTOME DATABASE ID RELEASE 65%111471	APOPTOTIC FACTOR-MEDIATED RESPONSE%REACTOME DATABASE ID RELEASE 65%111471		17	0.5925556	1.3901445	0.08503937	0.21693489	1.0	3202	tags=53%, list=24%, signal=69%	
PROCAINAMIDE (ANTIARRHYTHMIC) ACTION PATHWAY%PATHWHIZ%PW000377	PROCAINAMIDE (ANTIARRHYTHMIC) ACTION PATHWAY%PATHWHIZ%PW000377		30	0.5250649	1.3900388	0.061255742	0.2168789	1.0	1298	tags=23%, list=10%, signal=26%	
POSITIVE REGULATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0045860	POSITIVE REGULATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0045860		190	0.39630747	1.3899988	0.0035885167	0.21672507	1.0	2720	tags=34%, list=20%, signal=42%	
NEGATIVE REGULATION OF LEUKOCYTE DIFFERENTIATION%GOBP%GO:1902106	NEGATIVE REGULATION OF LEUKOCYTE DIFFERENTIATION%GOBP%GO:1902106		54	0.47214106	1.3899784	0.043115437	0.2165344	1.0	2422	tags=30%, list=18%, signal=36%	
GAUCHER DISEASE%PATHWHIZ%PW000201	GAUCHER DISEASE%PATHWHIZ%PW000201		18	0.5811329	1.3899429	0.07350689	0.2163905	1.0	4108	tags=67%, list=31%, signal=96%	
INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC%REACTOME DATABASE ID RELEASE 65%6811442	INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC%REACTOME DATABASE ID RELEASE 65%6811442		173	0.4004849	1.3898765	0.011904762	0.2162715	1.0	3071	tags=35%, list=23%, signal=44%	
METACHROMATIC LEUKODYSTROPHY (MLD)%SMPDB%SMP0000347	METACHROMATIC LEUKODYSTROPHY (MLD)%SMPDB%SMP0000347		18	0.5811329	1.3898636	0.07960199	0.2160695	1.0	4108	tags=67%, list=31%, signal=96%	
PID_CERAMIDE_PATHWAY%MSIGDB_C2%PID_CERAMIDE_PATHWAY	PID_CERAMIDE_PATHWAY%MSIGDB_C2%PID_CERAMIDE_PATHWAY		37	0.49041238	1.389663	0.078869045	0.21618687	1.0	2034	tags=30%, list=15%, signal=35%	
POSITIVE REGULATION OF KINASE ACTIVITY%GOBP%GO:0033674	POSITIVE REGULATION OF KINASE ACTIVITY%GOBP%GO:0033674		200	0.39587116	1.3892912	0.009433962	0.21658054	1.0	2720	tags=33%, list=20%, signal=41%	
MITOTIC CYTOKINETIC PROCESS%GOBP%GO:1902410	MITOTIC CYTOKINETIC PROCESS%GOBP%GO:1902410		21	0.55576307	1.3892074	0.08056872	0.21647526	1.0	2584	tags=48%, list=19%, signal=59%	
DOBUTAMINE ACTION PATHWAY%PATHWHIZ%PW000639	DOBUTAMINE ACTION PATHWAY%PATHWHIZ%PW000639		30	0.5250649	1.3890778	0.062402494	0.21648984	1.0	1298	tags=23%, list=10%, signal=26%	
NO CGMP PKG MEDIATED NEUROPROTECTION%WIKIPATHWAYS_20240210%WP4008%HOMO SAPIENS	NO CGMP PKG MEDIATED NEUROPROTECTION%WIKIPATHWAYS_20240210%WP4008%HOMO SAPIENS		20	0.55875725	1.3889685	0.09121061	0.21645941	1.0	2930	tags=45%, list=22%, signal=57%	
POSITIVE REGULATION OF SUBSTRATE ADHESION-DEPENDENT CELL SPREADING%GOBP%GO:1900026	POSITIVE REGULATION OF SUBSTRATE ADHESION-DEPENDENT CELL SPREADING%GOBP%GO:1900026		28	0.5344449	1.3889362	0.06437126	0.21630442	1.0	1110	tags=25%, list=8%, signal=27%	
PURINE NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0006195	PURINE NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0006195		58	0.4580446	1.3888364	0.05240793	0.2162566	1.0	2091	tags=34%, list=16%, signal=41%	
CILIUM ASSEMBLY%REACTOME%R-HSA-5617833.5	CILIUM ASSEMBLY%REACTOME%R-HSA-5617833.5		165	0.4020718	1.3888158	0.008484849	0.21606952	1.0	3254	tags=33%, list=24%, signal=43%	
KETOROLAC ACTION PATHWAY%SMPDB%SMP0000098	KETOROLAC ACTION PATHWAY%SMPDB%SMP0000098		18	0.5797005	1.3886365	0.06466877	0.21614926	1.0	1999	tags=50%, list=15%, signal=59%	
ASSOCIATION OF TRIC CCT WITH TARGET PROTEINS DURING BIOSYNTHESIS%REACTOME%R-HSA-390471.3	ASSOCIATION OF TRIC CCT WITH TARGET PROTEINS DURING BIOSYNTHESIS%REACTOME%R-HSA-390471.3		34	0.5048051	1.388416	0.066273935	0.21631353	1.0	4019	tags=56%, list=30%, signal=79%	
TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY%GOBP%GO:0034142	TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY%GOBP%GO:0034142		26	0.53472185	1.3881618	0.06779661	0.21651399	1.0	2788	tags=50%, list=21%, signal=63%	
NABUMETONE ACTION PATHWAY%SMPDB%SMP0000114	NABUMETONE ACTION PATHWAY%SMPDB%SMP0000114		18	0.5797005	1.3880835	0.07740916	0.21641563	1.0	1999	tags=50%, list=15%, signal=59%	
TIMOLOL ACTION PATHWAY%PATHWHIZ%PW000636	TIMOLOL ACTION PATHWAY%PATHWHIZ%PW000636		30	0.5250649	1.388053	0.06113537	0.21624559	1.0	1298	tags=23%, list=10%, signal=26%	
ISRADIPINE ACTION PATHWAY%PATHWHIZ%PW000393	ISRADIPINE ACTION PATHWAY%PATHWHIZ%PW000393		30	0.5250649	1.3877128	0.075642966	0.21658407	1.0	1298	tags=23%, list=10%, signal=26%	
REGULATION OF CELL-SUBSTRATE ADHESION%GOBP%GO:0010810	REGULATION OF CELL-SUBSTRATE ADHESION%GOBP%GO:0010810		118	0.41437757	1.3877022	0.01625	0.21638073	1.0	2111	tags=25%, list=16%, signal=29%	
LIGAND-DEPENDENT CASPASE ACTIVATION%REACTOME DATABASE ID RELEASE 65%140534	LIGAND-DEPENDENT CASPASE ACTIVATION%REACTOME DATABASE ID RELEASE 65%140534		15	0.606873	1.3876688	0.09228188	0.21621309	1.0	1868	tags=33%, list=14%, signal=39%	
NANOMATERIAL INDUCED APOPTOSIS%WIKIPATHWAYS_20240210%WP2507%HOMO SAPIENS	NANOMATERIAL INDUCED APOPTOSIS%WIKIPATHWAYS_20240210%WP2507%HOMO SAPIENS		15	0.60106415	1.3872567	0.078461535	0.21668497	1.0	4720	tags=73%, list=35%, signal=113%	
SALICYLIC ACID ACTION PATHWAY%SMPDB%SMP0000709	SALICYLIC ACID ACTION PATHWAY%SMPDB%SMP0000709		18	0.5797005	1.387122	0.08265802	0.21668302	1.0	1999	tags=50%, list=15%, signal=59%	
PROTEIN LOCALIZATION TO SYNAPSE%GOBP%GO:0035418	PROTEIN LOCALIZATION TO SYNAPSE%GOBP%GO:0035418		25	0.53912115	1.38636	0.051696286	0.21772173	1.0	3626	tags=52%, list=27%, signal=71%	
POSITIVE REGULATION OF PHOSPHATASE ACTIVITY%GOBP%GO:0010922	POSITIVE REGULATION OF PHOSPHATASE ACTIVITY%GOBP%GO:0010922		23	0.5648413	1.3862759	0.07009346	0.21766613	1.0	2548	tags=52%, list=19%, signal=64%	
DISEASES OF METABOLISM%REACTOME DATABASE ID RELEASE 65%5668914	DISEASES OF METABOLISM%REACTOME DATABASE ID RELEASE 65%5668914		158	0.40556622	1.386011	0.0109756095	0.21787733	1.0	1630	tags=19%, list=12%, signal=21%	
MEFENAMIC ACID ACTION PATHWAY%PATHWHIZ%PW000261	MEFENAMIC ACID ACTION PATHWAY%PATHWHIZ%PW000261		18	0.5797005	1.3856814	0.08868501	0.21821104	1.0	1999	tags=50%, list=15%, signal=59%	
CELLULAR DEFENSE RESPONSE%GOBP%GO:0006968	CELLULAR DEFENSE RESPONSE%GOBP%GO:0006968		41	0.4782977	1.3855639	0.06946454	0.21816131	1.0	1164	tags=22%, list=9%, signal=24%	
PROPRANOLOL ACTION PATHWAY%SMPDB%SMP0000307	PROPRANOLOL ACTION PATHWAY%SMPDB%SMP0000307		30	0.5250649	1.3854207	0.07418398	0.218186	1.0	1298	tags=23%, list=10%, signal=26%	
CELLULAR RESPONSE TO TOXIC SUBSTANCE%GOBP%GO:0097237	CELLULAR RESPONSE TO TOXIC SUBSTANCE%GOBP%GO:0097237		31	0.5124933	1.3850274	0.07035928	0.21858956	1.0	2401	tags=32%, list=18%, signal=39%	
ACTIN FILAMENT BUNDLE ORGANIZATION%GOBP%GO:0061572	ACTIN FILAMENT BUNDLE ORGANIZATION%GOBP%GO:0061572		41	0.48121572	1.3849945	0.056034483	0.21841654	1.0	2663	tags=39%, list=20%, signal=49%	
TRANSLOCATION OF SLC2A4 (GLUT4) TO THE PLASMA MEMBRANE%REACTOME%R-HSA-1445148.4	TRANSLOCATION OF SLC2A4 (GLUT4) TO THE PLASMA MEMBRANE%REACTOME%R-HSA-1445148.4		47	0.47427753	1.3849658	0.04831625	0.2182498	1.0	2119	tags=30%, list=16%, signal=35%	
NEURODEGENERATION WITH BRAIN IRON ACCUMULATION NBIA SUBTYPES PATHWAY%WIKIPATHWAYS_20240210%WP4577%HOMO SAPIENS	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION NBIA SUBTYPES PATHWAY%WIKIPATHWAYS_20240210%WP4577%HOMO SAPIENS		31	0.51139027	1.3848081	0.06959153	0.21829936	1.0	3001	tags=48%, list=22%, signal=62%	
DISOPYRAMIDE ACTION PATHWAY%SMPDB%SMP0000325	DISOPYRAMIDE ACTION PATHWAY%SMPDB%SMP0000325		30	0.5250649	1.3846024	0.07390649	0.21843548	1.0	1298	tags=23%, list=10%, signal=26%	
AMYLOID FIBER FORMATION%REACTOME%R-HSA-977225.8	AMYLOID FIBER FORMATION%REACTOME%R-HSA-977225.8		37	0.49359617	1.3845537	0.061011903	0.21829702	1.0	935	tags=27%, list=7%, signal=29%	
LUMIRACOXIB ACTION PATHWAY%SMPDB%SMP0000699	LUMIRACOXIB ACTION PATHWAY%SMPDB%SMP0000699		18	0.5797005	1.3845124	0.08626198	0.21814495	1.0	1999	tags=50%, list=15%, signal=59%	
LEUKOTRIENE C4 SYNTHESIS DEFICIENCY%PATHWHIZ%PW000118	LEUKOTRIENE C4 SYNTHESIS DEFICIENCY%PATHWHIZ%PW000118		18	0.5797005	1.3841643	0.0873635	0.21850815	1.0	1999	tags=50%, list=15%, signal=59%	
PURINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072523	PURINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072523		63	0.45648226	1.3838189	0.037786774	0.21888074	1.0	2091	tags=33%, list=16%, signal=39%	
SIGNAL AMPLIFICATION%REACTOME%R-HSA-392518.3	SIGNAL AMPLIFICATION%REACTOME%R-HSA-392518.3		23	0.54019266	1.3837191	0.08885542	0.21883172	1.0	2820	tags=52%, list=21%, signal=66%	
NEGATIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002704	NEGATIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002704		41	0.48972782	1.3835086	0.052160952	0.2189295	1.0	2422	tags=39%, list=18%, signal=47%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062		96	0.42785966	1.3831822	0.023316063	0.21922222	1.0	2097	tags=25%, list=16%, signal=29%	
IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS%GOBP%GO:0002433	IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS%GOBP%GO:0002433		19	0.56319606	1.3829712	0.08012327	0.21935649	1.0	2008	tags=47%, list=15%, signal=56%	
RESPONSE TO OXIDATIVE STRESS%GOBP%GO:0006979	RESPONSE TO OXIDATIVE STRESS%GOBP%GO:0006979		189	0.4004369	1.3828902	0.008313539	0.2192905	1.0	2555	tags=30%, list=19%, signal=37%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229		97	0.42432117	1.3828669	0.031088082	0.21911587	1.0	2097	tags=25%, list=16%, signal=29%	
POSITIVE REGULATION OF PROTEIN-CONTAINING COMPLEX DISASSEMBLY%GOBP%GO:0043243	POSITIVE REGULATION OF PROTEIN-CONTAINING COMPLEX DISASSEMBLY%GOBP%GO:0043243		23	0.54946834	1.3823786	0.10104012	0.21970867	1.0	2439	tags=30%, list=18%, signal=37%	
BIOCARTA_CASPASE_PATHWAY%MSIGDB_C2%BIOCARTA_CASPASE_PATHWAY	BIOCARTA_CASPASE_PATHWAY%MSIGDB_C2%BIOCARTA_CASPASE_PATHWAY		17	0.5613939	1.3823686	0.09618574	0.2195035	1.0	2353	tags=35%, list=17%, signal=43%	
VEGFA-VEGFR2 PATHWAY%REACTOME%R-HSA-4420097.6	VEGFA-VEGFR2 PATHWAY%REACTOME%R-HSA-4420097.6		87	0.4309046	1.3823367	0.032608695	0.21934211	1.0	2111	tags=30%, list=16%, signal=35%	
BIOCARTA_BIOPEPTIDES_PATHWAY%MSIGDB_C2%BIOCARTA_BIOPEPTIDES_PATHWAY	BIOCARTA_BIOPEPTIDES_PATHWAY%MSIGDB_C2%BIOCARTA_BIOPEPTIDES_PATHWAY		20	0.56415373	1.3823262	0.083981335	0.21914163	1.0	2502	tags=40%, list=19%, signal=49%	
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198		96	0.42785966	1.3822778	0.035759896	0.21901043	1.0	2097	tags=25%, list=16%, signal=29%	
HALLMARK_APICAL_JUNCTION%MSIGDBHALLMARK%HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION%MSIGDBHALLMARK%HALLMARK_APICAL_JUNCTION		104	0.42873964	1.3820002	0.024358975	0.2192575	1.0	1602	tags=25%, list=12%, signal=28%	
ETODOLAC ACTION PATHWAY%PATHWHIZ%PW000129	ETODOLAC ACTION PATHWAY%PATHWHIZ%PW000129		18	0.5797005	1.3813498	0.09016393	0.22010487	1.0	1999	tags=50%, list=15%, signal=59%	
MAGNESIUM SALICYLATE ACTION PATHWAY%PATHWHIZ%PW000675	MAGNESIUM SALICYLATE ACTION PATHWAY%PATHWHIZ%PW000675		18	0.5797005	1.3809794	0.07668712	0.22056887	1.0	1999	tags=50%, list=15%, signal=59%	
ARACHIDONIC ACID METABOLISM%SMPDB%SMP0000075	ARACHIDONIC ACID METABOLISM%SMPDB%SMP0000075		18	0.5797005	1.3808448	0.0912	0.22057205	1.0	1999	tags=50%, list=15%, signal=59%	
POSITIVE REGULATION OF PURINE NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0033123	POSITIVE REGULATION OF PURINE NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0033123		15	0.5935902	1.3805454	0.08931419	0.220836	1.0	1753	tags=40%, list=13%, signal=46%	
GLYCOLIPID METABOLIC PROCESS%GOBP%GO:0006664	GLYCOLIPID METABOLIC PROCESS%GOBP%GO:0006664		74	0.4415285	1.3803767	0.030789826	0.22089161	1.0	1746	tags=24%, list=13%, signal=28%	
PID_NECTIN_PATHWAY%MSIGDB_C2%PID_NECTIN_PATHWAY	PID_NECTIN_PATHWAY%MSIGDB_C2%PID_NECTIN_PATHWAY		18	0.5808056	1.3800929	0.08912387	0.22118916	1.0	902	tags=33%, list=7%, signal=36%	
ALZHEIMER 39 S DISEASE%WIKIPATHWAYS_20240210%WP5124%HOMO SAPIENS	ALZHEIMER 39 S DISEASE%WIKIPATHWAYS_20240210%WP5124%HOMO SAPIENS		154	0.40042034	1.3800503	0.013268999	0.22104514	1.0	1905	tags=31%, list=14%, signal=35%	
MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0060537	MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0060537		93	0.43174884	1.3794328	0.029062087	0.22186674	1.0	1852	tags=25%, list=14%, signal=28%	
